[800.0, 2000.0, 0.003214, [0.840093584, 0.0147384828], [4057.2, 86.94], [209.489474, 7.5865132], [0.05563655559144545, 0.00521084052951153]]
[800.0, 500.0, 0.00342, [158.994768], [791200.0], [37086.3868], [6.260412837026005]]
[800.0, 1900.0, 0.003824, [0.10302279600000001, 0.00183969272], [259.90000000000003, 1.8078], [15.5177596, 0.304713108], [0.013767000010169245, 0.0013008592607964935]]
[800.0, 700.0, 0.003662, [0.568473336, 0.0009938346], [1968.8, 0.31418], [126.311676, 0.093860286], [0.03361453894968664, 0.0007027472256793335]]
[900.0, 200.0, 0.002281, [0.032057933600000005, 0.0015412465599999997], [103.5, 1.8078], [6.6977012, 0.304713108], [0.004445635724168141, 0.0006892665234871051]]
[900.0, 1100.0, 0.002763, [0.00171504836, 0.00114336588], [0.35742, 0.31418], [0.090960262, 0.093860286], [0.0009901838449500172, 0.0008084817675124158]]
[900.0, 300.0, 0.002633, [0.0700044376, 0.0061407387199999995], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [0.006556516049244446, 0.0019418724427726966]]
[900.0, 1000.0, 0.00257, [0.0366977512, 0.0034404136], [103.5, 8.096], [6.6977012, 0.98766186], [0.006487306790340657, 0.0019863243163189643]]
[900.0, 900.0, 0.002913, [0.0794491484, 0.027098931200000002], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.006995107940839798, 0.004085317985175695]]
[900.0, 1600.0, 0.002507, [0.0582449884, 0.0102785252], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [0.008155929463157463, 0.0034261756055403813]]
[900.0, 700.0, 0.002651, [0.06531256640000001, 0.0191008468], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.006343717221944874, 0.0034306132629604285]]
[900.0, 1900.0, 0.002477, [0.16750863200000002, 0.013767827600000001], [786.6, 86.94], [50.808656000000006, 7.5865132], [0.013863114870764075, 0.003974430879509668]]
[900.0, 500.0, 0.002978, [0.078595692, 0.00736834624], [259.90000000000003, 25.392], [15.5177596, 2.93968428], [0.00694694430667182, 0.00212705830441951]]
[900.0, 1400.0, 0.002617, [0.0693794816, 0.034121061200000004], [259.90000000000003, 314.64], [15.5177596, 26.476988199999997], [0.00888313192607202, 0.006229624281447477]]
[900.0, 1200.0, 0.002547, [0.0628263032, 0.018276738400000003], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.008471496680044205, 0.004569185348834079]]
[900.0, 1500.0, 0.002469, [0.0615113472, 0.017086488400000002], [259.90000000000003, 86.94], [15.5177596, 7.5865132], [0.008370634547989775, 0.004411712251722681]]
[900.0, 800.0, 0.002685, [0.18599594, 0.0030896341599999998], [786.6, 8.096], [50.808656000000006, 0.98766186], [0.010720629377046853, 0.0013817263734907865]]
[900.0, 400.0, 0.002618, [0.0681463504, 0.00368358616], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.006468165323799323, 0.0015038178841867787]]
[900.0, 100.0, 0.002264, [0.0572687672, 0.00369475864], [259.90000000000003, 8.096], [15.5177596, 0.98766186], [0.005938494886753712, 0.0015083789290493287]]
