(2100.0, 2000.0, 0.828065)
(2100.0, 1200.0, 0.830655)
(2100.0, 1500.0, 0.81467)
(2100.0, 1100.0, 0.820974)
(2100.0, 1300.0, 0.822758)
(2100.0, 1600.0, 0.814888)
(2200.0, 1700.0, 0.764756)
(2200.0, 1100.0, 0.770001)
(2200.0, 200.0, 0.232511)
(2200.0, 1800.0, 0.770514)
(2200.0, 900.0, 0.58439)
(2200.0, 1000.0, 0.667979)
(2200.0, 1300.0, 0.753074)
(2200.0, 1900.0, 0.78313)
(2200.0, 1400.0, 0.75356)
(2200.0, 1600.0, 0.755114)
(2200.0, 800.0, 0.470173)
(2200.0, 400.0, 0.270676)
(2200.0, 600.0, 0.335653)
(2200.0, 2000.0, 0.756814)
(2200.0, 500.0, 0.309833)
(2200.0, 700.0, 0.396777)
(2200.0, 300.0, 0.26268)
(2200.0, 1200.0, 0.76731)
(2200.0, 1500.0, 0.75798)
(2200.0, 100.0, 0.227493)
(2300.0, 700.0, 0.309518)
(2300.0, 100.0, 0.204601)
(2300.0, 1800.0, 0.662752)
(2300.0, 1000.0, 0.550864)
(2300.0, 1500.0, 0.666695)
(2300.0, 1200.0, 0.674385)
(2300.0, 500.0, 0.245429)
(2300.0, 1900.0, 0.668147)
(2300.0, 1300.0, 0.67327)
(2300.0, 1600.0, 0.691358)
(2300.0, 1700.0, 0.658361)
(2300.0, 1400.0, 0.678979)
(2300.0, 1100.0, 0.648615)
(2300.0, 900.0, 0.466088)
(2300.0, 2000.0, 0.659433)
(2300.0, 300.0, 0.193715)
(2300.0, 200.0, 0.211832)
(2300.0, 400.0, 0.233485)
(2300.0, 800.0, 0.373771)
(2300.0, 600.0, 0.276585)
(2400.0, 1200.0, 0.649902)
(2400.0, 1500.0, 0.643428)
(2400.0, 1100.0, 0.568664)
(2400.0, 1600.0, 0.644632)
(2400.0, 400.0, 0.20729)
(2400.0, 1300.0, 0.664811)
(2400.0, 200.0, 0.199974)
(2400.0, 1700.0, 0.628517)
(2400.0, 2000.0, 0.627335)
(2400.0, 600.0, 0.239493)
(2400.0, 1900.0, 0.658906)
(2400.0, 700.0, 0.283773)
(2400.0, 100.0, 0.183284)
(2400.0, 1800.0, 0.656134)
(2400.0, 500.0, 0.224933)
(2400.0, 900.0, 0.397336)
(2400.0, 1400.0, 0.630641)
(2400.0, 800.0, 0.328385)
(2400.0, 300.0, 0.194198)
(2400.0, 1000.0, 0.478633)
(2500.0, 400.0, 0.183828)
(2500.0, 1300.0, 0.583902)
(2500.0, 500.0, 0.184081)
(2500.0, 900.0, 0.334176)
(2500.0, 1400.0, 0.560604)
(2500.0, 200.0, 0.158733)
(2500.0, 1900.0, 0.596017)
